id,name,category,falCategory,status,prefix,supportsLora,imageFields,maxRefs,refImagesField,needsSource,needsFirstFrame,supportsI2v,promptField,aspectRatioField,durationField,hasOpenapiOverlay,notes
fal-ai/qwen-image-edit-plus-lora-gallery/integrate-product,Qwen Image Edit Plus Lora Gallery,image,image-to-image,available,fal-ai,True,,1,image_url,True,False,False,prompt,,,False,
fal-ai/wan/v2.2-14b/speech-to-video,Wan-2.2 Speech-to-Video 14B,audio,audio-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
imagineart/imagineart-2.0-edit-preview/image-to-image,Imagineart 2.0 Edit Preview,image,image-to-image,available,imagineart,False,image_url,1,image_url,True,False,False,prompt,,,False,
fal-ai/cohere-transcribe,Cohere Transcribe,audio,speech-to-text,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
decart/lucy-restyle,Lucy Restyle,video,video-to-video,available,decart,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/wan-pro/image-to-video,Wan-2.1 Pro Image-to-Video,video,image-to-video,available,fal-ai,False,image_url|end_image_url,1,image_url,False,True,True,prompt,,,False,
wan/v2.6/reference-to-video/flash,V2.6,video,video-to-video,available,wan,False,image_urls,9,image_urls,False,True,True,prompt,,,False,
fal-ai/z-image-trainer,Z Image Trainer,image,training,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/kokoro/french,Kokoro TTS (French),audio,text-to-audio,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/luma-photon/reframe,Luma Photon Reframe,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/flux-2-lora-gallery/face-to-full-portrait,Flux 2 Lora Gallery,image,image-to-image,available,fal-ai,True,,1,image_url,True,False,False,prompt,,,False,
fal-ai/flux-control-lora-depth/image-to-image,FLUX.1 [dev] Control LoRA Depth,image,image-to-image,available,fal-ai,True,image_url,1,image_url,True,False,False,prompt,,,False,
fal-ai/speech-to-text,Speech-to-Text,audio,speech-to-text,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/qwen-image-max/text-to-image,Qwen Image Max,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
